complex_id,dataset,pose_rank,rmsd,rmsd_lt2,rmsd_lt1,ligand_file,protein_file
5s7q_LU8_B_1802,proto_test,1,1.3318,True,False,5s7q_LU8_B_1802_ligand_refined.sdf,5s7q_LU8_B_1802_protein_refined.pdb
5s7r_LU8_A_501,proto_test,1,1.869,True,False,5s7r_LU8_A_501_ligand_refined.sdf,5s7r_LU8_A_501_protein_refined.pdb
5s7r_LU8_A_508,proto_test,1,2.5037,False,False,5s7r_LU8_A_508_ligand_refined.sdf,5s7r_LU8_A_508_protein_refined.pdb
5s7r_LU8_A_507,proto_test,1,1.864,True,False,5s7r_LU8_A_507_ligand_refined.sdf,5s7r_LU8_A_507_protein_refined.pdb
5s7r_LU8_B_501,proto_test,1,1.363,True,False,5s7r_LU8_B_501_ligand_refined.sdf,5s7r_LU8_B_501_protein_refined.pdb
5s7s_LU8_B_501,proto_test,1,1.3708,True,False,5s7s_LU8_B_501_ligand_refined.sdf,5s7s_LU8_B_501_protein_refined.pdb
5s7s_LU8_A_501,proto_test,1,1.4945,True,False,5s7s_LU8_A_501_ligand_refined.sdf,5s7s_LU8_A_501_protein_refined.pdb
5s7s_LU8_A_508,proto_test,1,2.1663,False,False,5s7s_LU8_A_508_ligand_refined.sdf,5s7s_LU8_A_508_protein_refined.pdb
5s7s_LU8_A_509,proto_test,1,3.0482,False,False,5s7s_LU8_A_509_ligand_refined.sdf,5s7s_LU8_A_509_protein_refined.pdb
5s7t_LU8_A_507,proto_test,1,1.517,True,False,5s7t_LU8_A_507_ligand_refined.sdf,5s7t_LU8_A_507_protein_refined.pdb
5s7t_LU8_A_501,proto_test,1,1.2412,True,False,5s7t_LU8_A_501_ligand_refined.sdf,5s7t_LU8_A_501_protein_refined.pdb
5s7t_LU8_A_508,proto_test,1,2.5977,False,False,5s7t_LU8_A_508_ligand_refined.sdf,5s7t_LU8_A_508_protein_refined.pdb
5s7t_LU8_B_501,proto_test,1,1.6755,True,False,5s7t_LU8_B_501_ligand_refined.sdf,5s7t_LU8_B_501_protein_refined.pdb
5s7u_LU8_A_508,proto_test,1,3.244,False,False,5s7u_LU8_A_508_ligand_refined.sdf,5s7u_LU8_A_508_protein_refined.pdb
5s7u_LU8_A_507,proto_test,1,1.5225,True,False,5s7u_LU8_A_507_ligand_refined.sdf,5s7u_LU8_A_507_protein_refined.pdb
5s7u_LU8_A_501,proto_test,1,1.1636,True,False,5s7u_LU8_A_501_ligand_refined.sdf,5s7u_LU8_A_501_protein_refined.pdb
5s7u_LU8_B_501,proto_test,1,1.0331,True,False,5s7u_LU8_B_501_ligand_refined.sdf,5s7u_LU8_B_501_protein_refined.pdb
5s7v_LU8_B_501,proto_test,1,1.3414,True,False,5s7v_LU8_B_501_ligand_refined.sdf,5s7v_LU8_B_501_protein_refined.pdb
5s7v_LU8_A_507,proto_test,1,2.0123,False,False,5s7v_LU8_A_507_ligand_refined.sdf,5s7v_LU8_A_507_protein_refined.pdb
5s7v_LU8_A_501,proto_test,1,1.3334,True,False,5s7v_LU8_A_501_ligand_refined.sdf,5s7v_LU8_A_501_protein_refined.pdb
5s7v_LU8_A_508,proto_test,1,2.8446,False,False,5s7v_LU8_A_508_ligand_refined.sdf,5s7v_LU8_A_508_protein_refined.pdb
5s7w_LU8_A_507,proto_test,1,1.5125,True,False,5s7w_LU8_A_507_ligand_refined.sdf,5s7w_LU8_A_507_protein_refined.pdb
5s7w_LU8_A_508,proto_test,1,3.3683,False,False,5s7w_LU8_A_508_ligand_refined.sdf,5s7w_LU8_A_508_protein_refined.pdb
5s7w_LU8_A_501,proto_test,1,1.9024,True,False,5s7w_LU8_A_501_ligand_refined.sdf,5s7w_LU8_A_501_protein_refined.pdb
5s7w_LU8_B_501,proto_test,1,1.738,True,False,5s7w_LU8_B_501_ligand_refined.sdf,5s7w_LU8_B_501_protein_refined.pdb
5s7x_LU8_A_508,proto_test,1,1.8522,True,False,5s7x_LU8_A_508_ligand_refined.sdf,5s7x_LU8_A_508_protein_refined.pdb
5s7x_LU8_B_501,proto_test,1,1.3912,True,False,5s7x_LU8_B_501_ligand_refined.sdf,5s7x_LU8_B_501_protein_refined.pdb
5s7x_LU8_A_509,proto_test,1,3.0537,False,False,5s7x_LU8_A_509_ligand_refined.sdf,5s7x_LU8_A_509_protein_refined.pdb
5s7x_LU8_A_501,proto_test,1,1.3329,True,False,5s7x_LU8_A_501_ligand_refined.sdf,5s7x_LU8_A_501_protein_refined.pdb
5s7y_LU8_A_508,proto_test,1,2.7659,False,False,5s7y_LU8_A_508_ligand_refined.sdf,5s7y_LU8_A_508_protein_refined.pdb
5s7y_LU8_A_507,proto_test,1,1.9095,True,False,5s7y_LU8_A_507_ligand_refined.sdf,5s7y_LU8_A_507_protein_refined.pdb
5s7y_LU8_A_501,proto_test,1,1.2645,True,False,5s7y_LU8_A_501_ligand_refined.sdf,5s7y_LU8_A_501_protein_refined.pdb
5s7y_LU8_B_501,proto_test,1,1.2526,True,False,5s7y_LU8_B_501_ligand_refined.sdf,5s7y_LU8_B_501_protein_refined.pdb
5s7z_LU8_A_501,proto_test,1,1.1781,True,False,5s7z_LU8_A_501_ligand_refined.sdf,5s7z_LU8_A_501_protein_refined.pdb
5s7z_LU8_A_509,proto_test,1,2.4103,False,False,5s7z_LU8_A_509_ligand_refined.sdf,5s7z_LU8_A_509_protein_refined.pdb
5s7z_LU8_A_508,proto_test,1,1.9062,True,False,5s7z_LU8_A_508_ligand_refined.sdf,5s7z_LU8_A_508_protein_refined.pdb
5s7z_LU8_B_501,proto_test,1,1.1497,True,False,5s7z_LU8_B_501_ligand_refined.sdf,5s7z_LU8_B_501_protein_refined.pdb
5s80_LU8_B_501,proto_test,1,1.3437,True,False,5s80_LU8_B_501_ligand_refined.sdf,5s80_LU8_B_501_protein_refined.pdb
5s80_LU8_A_508,proto_test,1,2.0814,False,False,5s80_LU8_A_508_ligand_refined.sdf,5s80_LU8_A_508_protein_refined.pdb
5s80_LU8_A_501,proto_test,1,1.2392,True,False,5s80_LU8_A_501_ligand_refined.sdf,5s80_LU8_A_501_protein_refined.pdb
5s80_LU8_A_509,proto_test,1,2.1457,False,False,5s80_LU8_A_509_ligand_refined.sdf,5s80_LU8_A_509_protein_refined.pdb
