complex_id,dataset,pose_rank,rmsd,rmsd_lt2,rmsd_lt1,ligand_file,protein_file
5s7i_LU8_A_508,proto_test,1,3.9436,False,False,5s7i_LU8_A_508_ligand_refined.sdf,5s7i_LU8_A_508_protein_refined.pdb
5s7i_LU8_A_507,proto_test,1,1.7611,True,False,5s7i_LU8_A_507_ligand_refined.sdf,5s7i_LU8_A_507_protein_refined.pdb
5s7i_LU8_B_501,proto_test,1,1.4416,True,False,5s7i_LU8_B_501_ligand_refined.sdf,5s7i_LU8_B_501_protein_refined.pdb
5s7i_LU8_A_501,proto_test,1,1.4245,True,False,5s7i_LU8_A_501_ligand_refined.sdf,5s7i_LU8_A_501_protein_refined.pdb
5s7j_LU8_A_501,proto_test,1,1.37,True,False,5s7j_LU8_A_501_ligand_refined.sdf,5s7j_LU8_A_501_protein_refined.pdb
5s7j_LU8_B_501,proto_test,1,1.4037,True,False,5s7j_LU8_B_501_ligand_refined.sdf,5s7j_LU8_B_501_protein_refined.pdb
5s7k_LU8_A_501,proto_test,1,1.4673,True,False,5s7k_LU8_A_501_ligand_refined.sdf,5s7k_LU8_A_501_protein_refined.pdb
5s7k_LU8_A_507,proto_test,1,4.0042,False,False,5s7k_LU8_A_507_ligand_refined.sdf,5s7k_LU8_A_507_protein_refined.pdb
5s7k_LU8_A_506,proto_test,1,1.7648,True,False,5s7k_LU8_A_506_ligand_refined.sdf,5s7k_LU8_A_506_protein_refined.pdb
5s7k_LU8_B_501,proto_test,1,1.4341,True,False,5s7k_LU8_B_501_ligand_refined.sdf,5s7k_LU8_B_501_protein_refined.pdb
5s7l_LU8_A_507,proto_test,1,1.7669,True,False,5s7l_LU8_A_507_ligand_refined.sdf,5s7l_LU8_A_507_protein_refined.pdb
5s7l_LU8_A_501,proto_test,1,1.4097,True,False,5s7l_LU8_A_501_ligand_refined.sdf,5s7l_LU8_A_501_protein_refined.pdb
5s7l_LU8_B_501,proto_test,1,1.3941,True,False,5s7l_LU8_B_501_ligand_refined.sdf,5s7l_LU8_B_501_protein_refined.pdb
5s7m_LU8_A_501,proto_test,1,1.4027,True,False,5s7m_LU8_A_501_ligand_refined.sdf,5s7m_LU8_A_501_protein_refined.pdb
5s7m_LU8_B_501,proto_test,1,1.498,True,False,5s7m_LU8_B_501_ligand_refined.sdf,5s7m_LU8_B_501_protein_refined.pdb
5s7n_LU8_B_501,proto_test,1,1.4103,True,False,5s7n_LU8_B_501_ligand_refined.sdf,5s7n_LU8_B_501_protein_refined.pdb
5s7n_LU8_A_501,proto_test,1,1.4397,True,False,5s7n_LU8_A_501_ligand_refined.sdf,5s7n_LU8_A_501_protein_refined.pdb
5s7n_LU8_A_507,proto_test,1,1.9662,True,False,5s7n_LU8_A_507_ligand_refined.sdf,5s7n_LU8_A_507_protein_refined.pdb
5s7n_LU8_A_508,proto_test,1,2.4978,False,False,5s7n_LU8_A_508_ligand_refined.sdf,5s7n_LU8_A_508_protein_refined.pdb
5s7o_LU8_A_508,proto_test,1,2.3995,False,False,5s7o_LU8_A_508_ligand_refined.sdf,5s7o_LU8_A_508_protein_refined.pdb
5s7o_LU8_A_507,proto_test,1,1.8128,True,False,5s7o_LU8_A_507_ligand_refined.sdf,5s7o_LU8_A_507_protein_refined.pdb
5s7o_LU8_A_501,proto_test,1,1.4191,True,False,5s7o_LU8_A_501_ligand_refined.sdf,5s7o_LU8_A_501_protein_refined.pdb
5s7o_LU8_B_501,proto_test,1,1.4368,True,False,5s7o_LU8_B_501_ligand_refined.sdf,5s7o_LU8_B_501_protein_refined.pdb
5s7p_LU8_A_508,proto_test,1,3.761,False,False,5s7p_LU8_A_508_ligand_refined.sdf,5s7p_LU8_A_508_protein_refined.pdb
5s7p_LU8_B_501,proto_test,1,1.4112,True,False,5s7p_LU8_B_501_ligand_refined.sdf,5s7p_LU8_B_501_protein_refined.pdb
5s7p_LU8_A_507,proto_test,1,1.7316,True,False,5s7p_LU8_A_507_ligand_refined.sdf,5s7p_LU8_A_507_protein_refined.pdb
5s7p_LU8_A_501,proto_test,1,1.3546,True,False,5s7p_LU8_A_501_ligand_refined.sdf,5s7p_LU8_A_501_protein_refined.pdb
5s7q_LU8_A_508,proto_test,1,2.5108,False,False,5s7q_LU8_A_508_ligand_refined.sdf,5s7q_LU8_A_508_protein_refined.pdb
5s7q_LU8_A_507,proto_test,1,1.7683,True,False,5s7q_LU8_A_507_ligand_refined.sdf,5s7q_LU8_A_507_protein_refined.pdb
5s7q_LU8_A_501,proto_test,1,1.4586,True,False,5s7q_LU8_A_501_ligand_refined.sdf,5s7q_LU8_A_501_protein_refined.pdb
5s7q_LU8_B_1802,proto_test,1,1.4634,True,False,5s7q_LU8_B_1802_ligand_refined.sdf,5s7q_LU8_B_1802_protein_refined.pdb
5s7r_LU8_A_501,proto_test,1,1.4016,True,False,5s7r_LU8_A_501_ligand_refined.sdf,5s7r_LU8_A_501_protein_refined.pdb
5s7r_LU8_A_508,proto_test,1,2.7622,False,False,5s7r_LU8_A_508_ligand_refined.sdf,5s7r_LU8_A_508_protein_refined.pdb
5s7r_LU8_A_507,proto_test,1,1.7137,True,False,5s7r_LU8_A_507_ligand_refined.sdf,5s7r_LU8_A_507_protein_refined.pdb
5s7r_LU8_B_501,proto_test,1,1.5101,True,False,5s7r_LU8_B_501_ligand_refined.sdf,5s7r_LU8_B_501_protein_refined.pdb
5s7s_LU8_B_501,proto_test,1,1.446,True,False,5s7s_LU8_B_501_ligand_refined.sdf,5s7s_LU8_B_501_protein_refined.pdb
5s7s_LU8_A_501,proto_test,1,1.5514,True,False,5s7s_LU8_A_501_ligand_refined.sdf,5s7s_LU8_A_501_protein_refined.pdb
5s7s_LU8_A_508,proto_test,1,1.7989,True,False,5s7s_LU8_A_508_ligand_refined.sdf,5s7s_LU8_A_508_protein_refined.pdb
5s7s_LU8_A_509,proto_test,1,3.9101,False,False,5s7s_LU8_A_509_ligand_refined.sdf,5s7s_LU8_A_509_protein_refined.pdb
5s7t_LU8_A_507,proto_test,1,1.6933,True,False,5s7t_LU8_A_507_ligand_refined.sdf,5s7t_LU8_A_507_protein_refined.pdb
5s7t_LU8_A_501,proto_test,1,1.3999,True,False,5s7t_LU8_A_501_ligand_refined.sdf,5s7t_LU8_A_501_protein_refined.pdb
5s7t_LU8_A_508,proto_test,1,3.1137,False,False,5s7t_LU8_A_508_ligand_refined.sdf,5s7t_LU8_A_508_protein_refined.pdb
5s7t_LU8_B_501,proto_test,1,1.4456,True,False,5s7t_LU8_B_501_ligand_refined.sdf,5s7t_LU8_B_501_protein_refined.pdb
5s7u_LU8_A_508,proto_test,1,2.8582,False,False,5s7u_LU8_A_508_ligand_refined.sdf,5s7u_LU8_A_508_protein_refined.pdb
5s7u_LU8_A_507,proto_test,1,1.698,True,False,5s7u_LU8_A_507_ligand_refined.sdf,5s7u_LU8_A_507_protein_refined.pdb
5s7u_LU8_A_501,proto_test,1,1.3691,True,False,5s7u_LU8_A_501_ligand_refined.sdf,5s7u_LU8_A_501_protein_refined.pdb
5s7u_LU8_B_501,proto_test,1,1.4767,True,False,5s7u_LU8_B_501_ligand_refined.sdf,5s7u_LU8_B_501_protein_refined.pdb
5s7v_LU8_B_501,proto_test,1,1.3936,True,False,5s7v_LU8_B_501_ligand_refined.sdf,5s7v_LU8_B_501_protein_refined.pdb
5s7v_LU8_A_507,proto_test,1,1.7346,True,False,5s7v_LU8_A_507_ligand_refined.sdf,5s7v_LU8_A_507_protein_refined.pdb
5s7v_LU8_A_501,proto_test,1,1.43,True,False,5s7v_LU8_A_501_ligand_refined.sdf,5s7v_LU8_A_501_protein_refined.pdb
5s7v_LU8_A_508,proto_test,1,3.4403,False,False,5s7v_LU8_A_508_ligand_refined.sdf,5s7v_LU8_A_508_protein_refined.pdb
5s7w_LU8_A_507,proto_test,1,1.7255,True,False,5s7w_LU8_A_507_ligand_refined.sdf,5s7w_LU8_A_507_protein_refined.pdb
